ringName,URL,dob,pob,gender,notes
"[""Cole James""]",/wrestlers/cole-james-10422.html,unknown,Unknown,male,
"[""Cole Radrick""]",/wrestlers/cole-radrick-12863.html,unknown,,male,
"[""Coleman""]",/wrestlers/coleman-4886.html,Dec 20th 1964,"Fremont, Ohio",male,
"[""Colin Cambridge""]",/wrestlers/colin-cambridge-11893.html,unknown,Unknown,male,
"[""Colin Cassady""]",/wrestlers/colin-cassady-7756.html,Apr 8th 1986,"Queens, New York",male,
"[""Colin Cutler""]",/wrestlers/colin-cutler-10991.html,unknown,"Kelowna, British Columbia",male,
"[""Colin Delaney""]",/wrestlers/colin-delaney-3442.html,Sep 7th 1986,"Rochester, New York",male,
"[""Colin Delaney Olsen""]",/wrestlers/colin-delaney-olsen-3442.html,Sep 7th 1986,"Rochester, New York",male,
"[""Colin Holmes""]",/wrestlers/colin-holmes-3530.html,unknown,Unknown,male,
"[""Colin Jost""]",/wrestlers/colin-jost-15194.html,Jun 29th 1982,"Staten Island, New York",male,
"[""Colin Olsen""]",/wrestlers/colin-olsen-3442.html,Sep 7th 1986,"Rochester, New York",male,
"[""Colin Scotts""]",/wrestlers/colin-scotts-6917.html,Apr 26th 1963,"Sydney, New South Wales",male,
"[""Colin Troy""]",/wrestlers/colin-troy-10556.html,Sep 30th 1989,"Victorville, California",male,
"[""Colin West""]",/wrestlers/colin-west-8395.html,unknown,Unknown,male,
"[""Colonel Blatnick""]",/wrestlers/colonel-blatnick-7275.html,unknown,"Unknown, Wisconsin",male,
"[""Colonel DeBeers""]",/wrestlers/colonel-debeers-532.html,Jan 10th 1945,"St. Joseph, Missouri",male,
"[""Colonel DeKlerk""]",/wrestlers/colonel-deklerk-556.html,Sep 1st 1953,"Woodbridge, New Jersey",male,Deceased
"[""Colonel James McLaughlin""]",/wrestlers/colonel-james-mclaughlin-13215.html,Jun 8th 1949,"Oriskansky, New York",male,Deceased
"[""Colonel Mustafa""]",/wrestlers/colonel-mustafa-12.html,Mar 14th 1943,"Tehran, Tehran Province",male,
"[""Colonel Ninotchka""]",/wrestlers/colonel-ninotchka-13595.html,unknown,,female,
"[""Colonel Red Neckerson""]",/wrestlers/colonel-red-neckerson-10143.html,Jan 17th 1965,"Winston-Salem, North Carolina",male,
"[""Colonel Robert Parker""]",/wrestlers/colonel-robert-parker-536.html,May 14th 1951,"Dyersburg, Tennessee",male,
"[""Colorado""]",/wrestlers/colorado-6754.html,Mar 11th 1964,"Unknown, Unknown",male,
"[""Colosso Colosetti""]",/wrestlers/colosso-colosetti-5880.html,May 19th 1948,"Buenos Aires, Buenos Aires",male,
